JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
Audit Associate,Finance and Business,£22000,London,"['Market Research', 'Excel', 'Financial Forecasting']",2024-10-04,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Logistics Coordinator,Administrative,£30000,Sheffield,"['Communication', 'Payroll Management', 'Recruitment']",2025-02-21,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Business Analyst,Finance and Business,£29000,Birmingham,"['Market Research', 'Project Management', 'Analytical Skills']",2025-07-14,Identify business needs and develop solutions to enhance processes and operations.
Mechanical Engineer,Engineering and Science,£25000,Nottingham,"['Problem Solving', 'Simulation Software', 'Technical Writing']",2024-10-20,"Design machinery and equipment, and troubleshoot engineering issues."
Social Media Manager,Marketing and Creative,£21000,Bristol,"['Social Media Marketing', 'Adobe Creative Suite', 'Market Research']",2024-10-12,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Corporate Finance Analyst,Finance and Business,£22000,Cambridge,"['Market Research', 'Business Strategy', 'Financial Reporting']",2025-07-18,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Corporate Finance Analyst,Finance and Business,£29000,Newcastle,"['Financial Reporting', 'Financial Forecasting', 'Financial Analysis']",2024-09-04,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Nurse,Administrative,£33000,Birmingham,"['Office Management', 'Organisational Skills', 'Talent Acquisition']",2025-01-07,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Data Scientist,Technology and Data,£33000,Newcastle,"['ETL', 'Docker', 'Django']",2025-08-25,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Civil Engineer,Engineering and Science,£27000,London,"['Data Analysis', 'Prototyping', 'Project Management Software']",2024-12-26,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Research Scientist,Engineering and Science,£32000,Newcastle,"['Prototyping', 'Project Management Software', 'Problem Solving']",2024-09-21,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Engineering Graduate,Engineering and Science,£25000,Cambridge,"['Engineering Design', 'Data Analysis', 'Prototyping']",2025-06-11,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Nurse,Administrative,£23000,Manchester,"['Client Management', 'Organisational Skills', 'Compliance Management']",2025-06-05,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Electrical Engineer,Engineering and Science,£33000,Sheffield,"['Simulation Software', 'Engineering Design', 'Statistical Analysis']",2024-11-10,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Human Resources Assistant,Administrative,£23000,London,"['Compliance Management', 'Communication', 'Conflict Resolution']",2025-05-27,"Support HR functions including recruitment, employee relations, and record-keeping."
Mechanical Engineer,Engineering and Science,£33000,Manchester,"['Simulation Software', 'Statistical Analysis', 'CAD Software']",2025-03-12,"Design machinery and equipment, and troubleshoot engineering issues."
Teacher,Administrative,£34000,London,"['Training and Development', 'Payroll Management', 'Communication']",2024-10-04,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Public Relations Officer,Marketing and Creative,£22000,Leeds,"['Adobe Creative Suite', 'Brand Strategy', 'Analytics']",2025-01-07,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Management Consultant,Administrative,£21000,Liverpool,"['HR Information Systems', 'Recruitment', 'Leadership']",2025-06-16,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Content Writer,Marketing and Creative,£24000,Birmingham,"['Digital Marketing', 'Market Research', 'Campaign Management']",2024-12-17,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Marketing Executive,Marketing and Creative,£32000,Cambridge,"['Email Marketing', 'Analytics', 'Content Creation']",2025-02-28,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Data Scientist,Technology and Data,£26000,Birmingham,"['Data Visualisation', 'ETL', 'Cloud Computing']",2025-01-15,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Logistics Coordinator,Administrative,£23000,London,"['HR Information Systems', 'Client Management', 'Payroll Management']",2024-11-12,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Supply Chain Analyst,Finance and Business,£29000,Liverpool,"['Business Strategy', 'Budgeting', 'Bookkeeping']",2025-03-08,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Management Consultant,Administrative,£25000,Nottingham,"['Compliance Management', 'Organisational Skills', 'Payroll Management']",2025-08-01,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Audit Associate,Finance and Business,£30000,Sheffield,"['Reporting', 'Regulatory Compliance', 'Excel']",2024-09-09,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Business Analyst,Finance and Business,£29000,Sheffield,"['Bookkeeping', 'Business Strategy', 'Regulatory Compliance']",2024-11-16,Identify business needs and develop solutions to enhance processes and operations.
Business Development Executive,Finance and Business,£29000,Bristol,"['Bookkeeping', 'Excel', 'Business Strategy']",2025-03-27,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Supply Chain Analyst,Finance and Business,£28000,Manchester,"['Business Strategy', 'Project Management', 'Excel']",2025-05-11,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Research Scientist,Engineering and Science,£24000,Cambridge,"['Engineering Design', 'Prototyping', 'Regulatory Compliance']",2025-05-27,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Event Coordinator,Marketing and Creative,£29000,London,"['Email Marketing', 'Social Media Marketing', 'Market Research']",2024-10-11,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Digital Marketing Specialist,Marketing and Creative,£32000,Bristol,"['Market Research', 'Google Analytics', 'Social Media Marketing']",2024-10-14,"Implement digital marketing strategies, including SEO, PPC, and social media."
Data Analyst,Technology and Data,£31000,Bristol,"['Python Programming', 'Data Visualisation', 'Machine Learning']",2024-10-07,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Research Scientist,Engineering and Science,£27000,Sheffield,"['Product Development', 'Lab Techniques', 'CAD Software']",2025-03-01,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Data Analyst,Technology and Data,£20000,Newcastle,"['APIs', 'Django', 'Problem Solving']",2025-03-21,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Business Analyst,Finance and Business,£24000,Nottingham,"['Quantitative Analysis', 'Financial Forecasting', 'Project Management']",2025-04-29,Identify business needs and develop solutions to enhance processes and operations.
Public Relations Officer,Marketing and Creative,£25000,Nottingham,"['Digital Marketing', 'Adobe Creative Suite', 'Analytics']",2025-08-20,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Sales Executive,Marketing and Creative,£35000,Bristol,"['Market Research', 'Campaign Management', 'PPC Advertising']",2025-04-10,Must be able to develop and execute sales strategies to meet business objectives.
Logistics Coordinator,Administrative,£28000,Birmingham,"['Compliance Management', 'Onboarding', 'Leadership']",2025-08-16,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Engineering Graduate,Engineering and Science,£33000,Sheffield,"['Problem Solving', 'Statistical Analysis', 'Lab Techniques']",2024-12-21,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Social Media Manager,Marketing and Creative,£27000,Newcastle,"['PPC Advertising', 'Google Analytics', 'Adobe Creative Suite']",2025-09-11,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Financial Analyst,Finance and Business,£30000,Leeds,"['Business Strategy', 'Budgeting', 'Financial Reporting']",2025-07-25,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Risk Analyst,Finance and Business,£25000,Bristol,"['Reporting', 'Regulatory Compliance', 'Financial Forecasting']",2025-05-26,You must be able to identify and assess potential risks to the organisation.
Health and Safety Advisor,Engineering and Science,£24000,Liverpool,"['Engineering Design', 'Simulation Software', 'Technical Writing']",2025-05-09,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Product Designer,Marketing and Creative,£30000,Leeds,"['User Research', 'Content Management Systems', 'Graphic Design']",2025-02-26,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Financial Analyst,Finance and Business,£25000,Manchester,"['Bookkeeping', 'Project Management', 'Business Strategy']",2024-09-23,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Web Developer,Technology and Data,£23000,Cambridge,"['APIs', 'SQL', 'Python Programming']",2024-10-04,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
UI Designer,Technology and Data,£25000,Bristol,"['Data Analysis', 'Python Programming', 'APIs']",2024-12-30,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Digital Marketing Specialist,Marketing and Creative,£29000,Leeds,"['Adobe Creative Suite', 'SEO Optimisation', 'Market Research']",2025-03-02,"Implement digital marketing strategies, including SEO, PPC, and social media."
Quantity Surveyor,Engineering and Science,£26000,Manchester,"['Project Management Software', 'Problem Solving', 'Lab Techniques']",2025-09-13,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Electrical Engineer,Engineering and Science,£31000,Newcastle,"['Statistical Analysis', 'Simulation Software', 'Mechanical Design']",2025-06-14,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Software Developer,Technology and Data,£29000,Cambridge,"['Version Control', 'Docker', 'Django']",2025-04-04,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Audit Associate,Finance and Business,£26000,Manchester,"['Excel', 'Market Research', 'Business Strategy']",2024-12-18,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Legal Assistant,Administrative,£29000,London,"['HR Information Systems', 'Talent Acquisition', 'Payroll Management']",2025-02-10,Provide administrative support to legal teams and assist with legal research and document preparation
Systems Analyst,Technology and Data,£31000,Liverpool,"['JavaScript', 'Machine Learning', 'Docker']",2025-08-10,Evaluate and improve computer systems to enhance efficiency.
Content Writer,Marketing and Creative,£24000,Leeds,"['Market Research', 'Social Media Marketing', 'Graphic Design']",2025-08-21,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Engineering Graduate,Engineering and Science,£25000,Liverpool,"['Data Analysis', 'Simulation Software', 'Research Methodology']",2025-01-08,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Corporate Finance Analyst,Finance and Business,£24000,Cambridge,"['Risk Assessment', 'Excel', 'Bookkeeping']",2025-01-29,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Teacher,Administrative,£23000,Newcastle,"['Training and Development', 'Office Management', 'Onboarding']",2024-11-26,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Digital Marketing Specialist,Marketing and Creative,£24000,Liverpool,"['PPC Advertising', 'Digital Marketing', 'Social Media Marketing']",2025-02-19,"Implement digital marketing strategies, including SEO, PPC, and social media."
Software Developer,Technology and Data,£31000,Leeds,"['Data Visualisation', 'Cloud Computing', 'Docker']",2024-12-28,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Marketing Executive,Marketing and Creative,£28000,Sheffield,"['Content Management Systems', 'User Research', 'SEO Optimisation']",2025-04-02,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Human Resources Assistant,Administrative,£20000,Manchester,"['Talent Acquisition', 'Organisational Skills', 'Conflict Resolution']",2024-12-30,"Support HR functions including recruitment, employee relations, and record-keeping."
Corporate Finance Analyst,Finance and Business,£22000,Birmingham,"['Regulatory Compliance', 'Analytical Skills', 'Reporting']",2025-08-21,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Data Scientist,Technology and Data,£31000,Manchester,"['SQL', 'Data Warehousing', 'ETL']",2025-02-07,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Sales Executive,Marketing and Creative,£21000,Newcastle,"['Market Research', 'User Research', 'Social Media Marketing']",2024-09-29,Must be able to develop and execute sales strategies to meet business objectives.
Insurance Underwriter,Administrative,£23000,Newcastle,"['Talent Acquisition', 'HR Information Systems', 'Leadership']",2025-09-18,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Audit Associate,Finance and Business,£33000,Sheffield,"['Quantitative Analysis', 'Financial Reporting', 'Regulatory Compliance']",2025-09-16,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Research Scientist,Engineering and Science,£30000,Bristol,"['Engineering Design', 'CAD Software', 'Statistical Analysis']",2025-02-03,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Health and Safety Advisor,Engineering and Science,£21000,Sheffield,"['Statistical Analysis', 'Mechanical Design', 'Finite Element Analysis']",2024-09-30,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Financial Analyst,Finance and Business,£21000,Cambridge,"['Budgeting', 'Financial Analysis', 'Financial Forecasting']",2024-09-24,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Supply Chain Analyst,Finance and Business,£29000,Liverpool,"['Market Research', 'Financial Reporting', 'Financial Analysis']",2024-12-12,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Sales Executive,Marketing and Creative,£27000,Leeds,"['Analytics', 'PPC Advertising', 'Google Analytics']",2025-08-18,Must be able to develop and execute sales strategies to meet business objectives.
Public Relations Officer,Marketing and Creative,£28000,Leeds,"['Market Research', 'Campaign Management', 'Content Creation']",2025-09-05,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Investment Banking Analyst,Finance and Business,£29000,Cambridge,"['Financial Reporting', 'Project Management', 'Business Strategy']",2024-11-21,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Pharmaceutical Sales Representative,Engineering and Science,£25000,Bristol,"['Project Management Software', 'Finite Element Analysis', 'Mechanical Design']",2024-12-07,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Investment Banking Analyst,Finance and Business,£24000,Cambridge,"['Risk Assessment', 'Quantitative Analysis', 'Reporting']",2024-09-16,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Teacher,Administrative,£22000,Sheffield,"['Compliance Management', 'HR Information Systems', 'Payroll Management']",2025-05-13,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Teacher,Administrative,£22000,Manchester,"['Employee Relations', 'HR Information Systems', 'Client Management']",2025-09-30,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Data Scientist,Technology and Data,£28000,Liverpool,"['Data Warehousing', 'Version Control', 'Cloud Computing']",2024-12-03,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Product Designer,Marketing and Creative,£32000,Cambridge,"['Email Marketing', 'SEO Optimisation', 'Digital Marketing']",2025-07-04,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Sales Executive,Marketing and Creative,£29000,Nottingham,"['Social Media Marketing', 'Content Creation', 'Market Research']",2025-01-09,Must be able to develop and execute sales strategies to meet business objectives.
Mechanical Engineer,Engineering and Science,£25000,Leeds,"['Statistical Analysis', 'Product Development', 'Mechanical Design']",2025-07-17,"Design machinery and equipment, and troubleshoot engineering issues."
Electrical Engineer,Engineering and Science,£28000,Birmingham,"['Product Development', 'Engineering Design', 'Prototyping']",2024-09-09,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Investment Banking Analyst,Finance and Business,£21000,Liverpool,"['Budgeting', 'Risk Assessment', 'Excel']",2024-12-08,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Health and Safety Advisor,Engineering and Science,£23000,Nottingham,"['CAD Software', 'Simulation Software', 'Lab Techniques']",2025-01-23,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Pharmaceutical Sales Representative,Engineering and Science,£20000,Cambridge,"['Regulatory Compliance', 'Technical Writing', 'Project Management Software']",2025-06-11,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Pharmaceutical Sales Representative,Engineering and Science,£29000,Birmingham,"['Prototyping', 'Problem Solving', 'Technical Writing']",2025-04-10,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Digital Marketing Specialist,Marketing and Creative,£20000,Manchester,"['Market Research', 'Content Creation', 'Brand Strategy']",2025-02-07,"Implement digital marketing strategies, including SEO, PPC, and social media."
Audit Associate,Finance and Business,£34000,Newcastle,"['Bookkeeping', 'Excel', 'Business Strategy']",2024-12-07,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Systems Analyst,Technology and Data,£25000,Bristol,"['Data Analysis', 'Data Visualisation', 'SQL']",2024-09-02,Evaluate and improve computer systems to enhance efficiency.
Insurance Underwriter,Administrative,£23000,Sheffield,"['Leadership', 'Payroll Management', 'Talent Acquisition']",2025-03-16,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Corporate Finance Analyst,Finance and Business,£32000,Liverpool,"['Excel', 'Quantitative Analysis', 'Regulatory Compliance']",2025-01-31,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Legal Assistant,Administrative,£31000,Leeds,"['Talent Acquisition', 'Training and Development', 'Onboarding']",2025-07-15,Provide administrative support to legal teams and assist with legal research and document preparation
UI Designer,Technology and Data,£32000,London,"['JavaScript', 'Django', 'Docker']",2024-11-15,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Graphic Designer,Marketing and Creative,£26000,Birmingham,"['Content Management Systems', 'User Research', 'Campaign Management']",2025-04-13,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Event Coordinator,Marketing and Creative,£25000,Liverpool,"['Content Management Systems', 'SEO Optimisation', 'Campaign Management']",2025-08-06,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Operations Manager,Finance and Business,£26000,Liverpool,"['Analytical Skills', 'Financial Analysis', 'Reporting']",2024-09-12,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Quantity Surveyor,Engineering and Science,£28000,Birmingham,"['Mechanical Design', 'Prototyping', 'Regulatory Compliance']",2024-09-28,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Teacher,Administrative,£20000,Newcastle,"['HR Information Systems', 'Talent Acquisition', 'Payroll Management']",2025-05-13,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Supply Chain Analyst,Finance and Business,£25000,Leeds,"['Financial Reporting', 'Regulatory Compliance', 'Risk Assessment']",2025-02-11,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Marketing Executive,Marketing and Creative,£23000,Manchester,"['Google Analytics', 'Email Marketing', 'Digital Marketing']",2024-12-25,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Graphic Designer,Marketing and Creative,£22000,Cambridge,"['Analytics', 'Content Creation', 'Adobe Creative Suite']",2025-07-26,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Data Analyst,Technology and Data,£29000,Birmingham,"['JavaScript', 'Python Programming', 'Data Warehousing']",2025-01-26,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Systems Analyst,Technology and Data,£31000,Leeds,"['Version Control', 'Problem Solving', 'Data Visualisation']",2025-08-17,Evaluate and improve computer systems to enhance efficiency.
Operations Manager,Finance and Business,£20000,Leeds,"['Financial Analysis', 'Analytical Skills', 'Financial Modeling']",2024-11-16,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Event Coordinator,Marketing and Creative,£23000,Birmingham,"['Market Research', 'Analytics', 'Campaign Management']",2025-07-22,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
UI Designer,Technology and Data,£29000,Nottingham,"['Problem Solving', 'Data Visualisation', 'Data Analysis']",2024-10-20,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Electrical Engineer,Engineering and Science,£23000,Sheffield,"['Prototyping', 'Engineering Design', 'Data Analysis']",2025-05-14,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Legal Assistant,Administrative,£29000,Sheffield,"['Training and Development', 'Recruitment', 'Client Management']",2025-05-11,Provide administrative support to legal teams and assist with legal research and document preparation
Event Coordinator,Marketing and Creative,£34000,Leeds,"['Analytics', 'Market Research', 'Social Media Marketing']",2025-06-23,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Electrical Engineer,Engineering and Science,£24000,London,"['Product Development', 'Lab Techniques', 'Statistical Analysis']",2025-03-26,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Event Coordinator,Marketing and Creative,£29000,Liverpool,"['Content Management Systems', 'SEO Optimisation', 'Market Research']",2025-07-27,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Sales Executive,Marketing and Creative,£32000,Liverpool,"['Market Research', 'Graphic Design', 'Digital Marketing']",2024-10-20,Must be able to develop and execute sales strategies to meet business objectives.
Customer Service Manager,Administrative,£25000,Cambridge,"['Compliance Management', 'Client Management', 'HR Information Systems']",2025-03-18,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Systems Analyst,Technology and Data,£33000,Sheffield,"['Cloud Computing', 'Data Warehousing', 'Version Control']",2025-04-01,Evaluate and improve computer systems to enhance efficiency.
Data Scientist,Technology and Data,£23000,Sheffield,"['Data Warehousing', 'Data Visualisation', 'Data Analysis']",2024-09-02,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Data Scientist,Technology and Data,£21000,Leeds,"['APIs', 'Version Control', 'Data Visualisation']",2025-09-14,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Data Scientist,Technology and Data,£24000,Birmingham,"['Data Warehousing', 'Machine Learning', 'APIs']",2025-07-20,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Event Coordinator,Marketing and Creative,£29000,Sheffield,"['Graphic Design', 'Analytics', 'User Research']",2025-09-27,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Software Developer,Technology and Data,£22000,Liverpool,"['Django', 'Docker', 'Problem Solving']",2024-12-11,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Supply Chain Analyst,Finance and Business,£30000,Nottingham,"['Financial Modeling', 'Budgeting', 'Risk Assessment']",2025-05-07,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Social Media Manager,Marketing and Creative,£28000,London,"['Content Creation', 'PPC Advertising', 'Analytics']",2024-11-25,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Graphic Designer,Marketing and Creative,£23000,Newcastle,"['Content Management Systems', 'Market Research', 'Social Media Marketing']",2024-09-22,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Risk Analyst,Finance and Business,£31000,Sheffield,"['Bookkeeping', 'Financial Modeling', 'Financial Forecasting']",2025-09-03,You must be able to identify and assess potential risks to the organisation.
Investment Banking Analyst,Finance and Business,£26000,Manchester,"['Financial Forecasting', 'Bookkeeping', 'Analytical Skills']",2025-07-17,You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Graphic Designer,Marketing and Creative,£28000,Leeds,"['Google Analytics', 'Analytics', 'Graphic Design']",2024-12-12,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
IT Support Specialist,Technology and Data,£24000,Nottingham,"['SQL', 'Cloud Computing', 'Python Programming']",2025-09-20,You will have to provide technical support and troubleshooting for hardware and software issues.
Recruitment Consultant,Administrative,£28000,London,"['Recruitment', 'Payroll Management', 'Organisational Skills']",2024-12-06,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Risk Analyst,Finance and Business,£20000,Birmingham,"['Financial Modeling', 'Business Strategy', 'Analytical Skills']",2024-12-08,You must be able to identify and assess potential risks to the organisation.
Supply Chain Analyst,Finance and Business,£24000,Newcastle,"['Financial Modeling', 'Analytical Skills', 'Financial Analysis']",2025-04-30,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Management Consultant,Administrative,£28000,Leeds,"['HR Information Systems', 'Leadership', 'Communication']",2024-12-01,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Technical Support Engineer,Technology and Data,£22000,Birmingham,"['JavaScript', 'SQL', 'Docker']",2025-05-14,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Product Designer,Marketing and Creative,£20000,Sheffield,"['SEO Optimisation', 'Email Marketing', 'Digital Marketing']",2024-09-05,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Human Resources Assistant,Administrative,£23000,Leeds,"['Onboarding', 'Payroll Management', 'Talent Acquisition']",2025-04-19,"Support HR functions including recruitment, employee relations, and record-keeping."
Biomedical Scientist,Engineering and Science,£33000,Sheffield,"['CAD Software', 'Product Development', 'Data Analysis']",2025-08-17,Conduct research and analyse biological samples to support medical and clinical studies.
Health and Safety Advisor,Engineering and Science,£25000,Bristol,"['Lab Techniques', 'Data Analysis', 'Simulation Software']",2025-01-27,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Content Writer,Marketing and Creative,£29000,Manchester,"['Content Creation', 'Email Marketing', 'PPC Advertising']",2024-12-30,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Data Analyst,Technology and Data,£32000,Nottingham,"['Data Analysis', 'Data Warehousing', 'Version Control']",2025-04-29,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Research Scientist,Engineering and Science,£28000,Nottingham,"['Lab Techniques', 'Problem Solving', 'Finite Element Analysis']",2025-05-28,Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Data Analyst,Technology and Data,£22000,Liverpool,"['Problem Solving', 'Django', 'JavaScript']",2025-02-18,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Social Media Manager,Marketing and Creative,£21000,Leeds,"['Digital Marketing', 'Graphic Design', 'Market Research']",2025-06-30,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Management Consultant,Administrative,£27000,London,"['Office Management', 'Payroll Management', 'Organisational Skills']",2025-08-15,Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Financial Analyst,Finance and Business,£30000,Newcastle,"['Market Research', 'Excel', 'Financial Reporting']",2024-10-04,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Biomedical Scientist,Engineering and Science,£20000,Bristol,"['Statistical Analysis', 'Regulatory Compliance', 'CAD Software']",2025-04-17,Conduct research and analyse biological samples to support medical and clinical studies.
Corporate Finance Analyst,Finance and Business,£23000,Newcastle,"['Risk Assessment', 'Bookkeeping', 'Financial Analysis']",2024-09-23,"Support corporate finance activities including budgeting, forecasting, and financial planning."
