JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Business Analyst,Finance and Business,£34000,Sheffield,"['Risk Assessment', 'Reporting', 'Project Management']",Identify business needs and develop solutions to enhance processes and operations.
Customer Service Manager,Administrative,£24000,Nottingham,"['Leadership', 'Performance Appraisal Systems', 'Organisational Skills']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Legal Assistant,Administrative,£27000,Birmingham,"['Communication', 'Training and Development', 'Recruitment']",Provide administrative support to legal teams and assist with legal research and document preparation
IT Support Specialist,Technology and Data,£20000,Bristol,"['Data Visualisation', 'Machine Learning', 'Data Warehousing']",You will have to provide technical support and troubleshooting for hardware and software issues.
Teacher,Administrative,£23000,Sheffield,"['Recruitment', 'Talent Acquisition', 'Office Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Recruitment Consultant,Administrative,£31000,Bristol,"['Performance Appraisal Systems', 'Onboarding', 'Payroll Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Engineering Graduate,Engineering and Science,£31000,Birmingham,"['Finite Element Analysis', 'Engineering Design', 'Mechanical Design']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Data Analyst,Technology and Data,£20000,Sheffield,"['Cloud Computing', 'Data Analysis', 'Docker']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Supply Chain Analyst,Finance and Business,£29000,Bristol,"['Project Management', 'Risk Assessment', 'Financial Forecasting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Technical Support Engineer,Technology and Data,£24000,Liverpool,"['Big Data Technologies', 'Python Programming', 'APIs']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Social Media Manager,Marketing and Creative,£20000,Manchester,"['Brand Strategy', 'Content Management Systems', 'Market Research']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Investment Banking Analyst,Finance and Business,£21000,Cambridge,"['Project Management', 'Financial Modeling', 'Analytical Skills']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Data Scientist,Technology and Data,£29000,Bristol,"['Data Warehousing', 'Data Analysis', 'JavaScript']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Financial Analyst,Finance and Business,£32000,Birmingham,"['Risk Assessment', 'Financial Forecasting', 'Excel']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Quantity Surveyor,Engineering and Science,£22000,Cambridge,"['Statistical Analysis', 'Prototyping', 'Mechanical Design']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Audit Associate,Finance and Business,£28000,Manchester,"['Quantitative Analysis', 'Market Research', 'Business Strategy']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Technical Support Engineer,Technology and Data,£26000,Cambridge,"['Machine Learning', 'APIs', 'Data Warehousing']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Logistics Coordinator,Administrative,£24000,Birmingham,"['HR Information Systems', 'Training and Development', 'Recruitment']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Web Developer,Technology and Data,£23000,Manchester,"['Docker', 'Cloud Computing', 'Data Visualisation']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Public Relations Officer,Marketing and Creative,£33000,Leeds,"['Graphic Design', 'Social Media Marketing', 'Email Marketing']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Data Analyst,Technology and Data,£28000,Cambridge,"['Data Warehousing', 'ETL', 'Django']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Recruitment Consultant,Administrative,£28000,Manchester,"['Communication', 'Employee Relations', 'Office Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
UI Designer,Technology and Data,£20000,Sheffield,"['Version Control', 'Machine Learning', 'Python Programming']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Customer Service Manager,Administrative,£21000,Liverpool,"['Payroll Management', 'Leadership', 'HR Information Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Legal Assistant,Administrative,£22000,Cambridge,"['Employee Relations', 'Recruitment', 'Conflict Resolution']",Provide administrative support to legal teams and assist with legal research and document preparation
Supply Chain Analyst,Finance and Business,£33000,Sheffield,"['Analytical Skills', 'Business Strategy', 'Financial Forecasting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Management Consultant,Administrative,£29000,Liverpool,"['Organisational Skills', 'Employee Relations', 'Talent Acquisition']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Management Consultant,Administrative,£23000,Sheffield,"['Conflict Resolution', 'HR Information Systems', 'Recruitment']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Sales Executive,Marketing and Creative,£20000,Newcastle,"['Content Creation', 'User Research', 'Analytics']",Must be able to develop and execute sales strategies to meet business objectives.
Nurse,Administrative,£22000,London,"['Recruitment', 'Client Management', 'Office Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Operations Manager,Finance and Business,£22000,Manchester,"['Risk Assessment', 'Analytical Skills', 'Reporting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Graphic Designer,Marketing and Creative,£22000,Bristol,"['Market Research', 'User Research', 'Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Electrical Engineer,Engineering and Science,£30000,Newcastle,"['Lab Techniques', 'Problem Solving', 'Regulatory Compliance']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Nurse,Administrative,£33000,Leeds,"['Talent Acquisition', 'Onboarding', 'Office Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Public Relations Officer,Marketing and Creative,£31000,Sheffield,"['Content Management Systems', 'Google Analytics', 'Brand Strategy']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Supply Chain Analyst,Finance and Business,£30000,Bristol,"['Regulatory Compliance', 'Financial Reporting', 'Financial Analysis']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Technical Support Engineer,Technology and Data,£22000,Nottingham,"['Python Programming', 'Problem Solving', 'Data Warehousing']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Engineering Graduate,Engineering and Science,£30000,Cambridge,"['Problem Solving', 'Mechanical Design', 'Lab Techniques']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Business Development Executive,Finance and Business,£28000,Bristol,"['Financial Analysis', 'Business Strategy', 'Risk Assessment']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Risk Analyst,Finance and Business,£20000,Newcastle,"['Risk Assessment', 'Bookkeeping', 'Financial Analysis']",You must be able to identify and assess potential risks to the organisation.
Product Designer,Marketing and Creative,£22000,Sheffield,"['Content Creation', 'Analytics', 'Graphic Design']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Supply Chain Analyst,Finance and Business,£24000,Bristol,"['Financial Analysis', 'Financial Reporting', 'Financial Forecasting']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Product Designer,Marketing and Creative,£29000,London,"['Adobe Creative Suite', 'Market Research', 'SEO Optimisation']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Data Scientist,Technology and Data,£33000,Newcastle,"['Data Analysis', 'Problem Solving', 'Data Warehousing']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Customer Service Manager,Administrative,£29000,Cambridge,"['Performance Appraisal Systems', 'Onboarding', 'Recruitment']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Investment Banking Analyst,Finance and Business,£23000,Birmingham,"['Financial Analysis', 'Reporting', 'Financial Forecasting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Social Media Manager,Marketing and Creative,£21000,London,"['Email Marketing', 'Content Creation', 'Analytics']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Biomedical Scientist,Engineering and Science,£23000,London,"['Product Development', 'Engineering Design', 'CAD Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Teacher,Administrative,£29000,Bristol,"['Employee Relations', 'Leadership', 'HR Information Systems']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Event Coordinator,Marketing and Creative,£29000,Birmingham,"['User Research', 'Adobe Creative Suite', 'Market Research']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Legal Assistant,Administrative,£22000,Nottingham,"['Leadership', 'Recruitment', 'Training and Development']",Provide administrative support to legal teams and assist with legal research and document preparation
Electrical Engineer,Engineering and Science,£23000,London,"['Technical Writing', 'Mechanical Design', 'Product Development']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Software Developer,Technology and Data,£27000,Cambridge,"['Big Data Technologies', 'Python Programming', 'SQL']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Risk Analyst,Finance and Business,£29000,Liverpool,"['Reporting', 'Risk Assessment', 'Financial Analysis']",You must be able to identify and assess potential risks to the organisation.
Recruitment Consultant,Administrative,£31000,Liverpool,"['Conflict Resolution', 'Performance Appraisal Systems', 'HR Information Systems']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
IT Support Specialist,Technology and Data,£22000,Newcastle,"['ETL', 'Big Data Technologies', 'APIs']",You will have to provide technical support and troubleshooting for hardware and software issues.
Human Resources Assistant,Administrative,£26000,London,"['Performance Appraisal Systems', 'Talent Acquisition', 'Communication']","Support HR functions including recruitment, employee relations, and record-keeping."
Operations Manager,Finance and Business,£34000,Cambridge,"['Market Research', 'Analytical Skills', 'Regulatory Compliance']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Engineering Graduate,Engineering and Science,£26000,London,"['Prototyping', 'Mechanical Design', 'CAD Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
UI Designer,Technology and Data,£22000,Bristol,"['Data Visualisation', 'JavaScript', 'Machine Learning']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Engineering Graduate,Engineering and Science,£32000,Birmingham,"['Regulatory Compliance', 'Data Analysis', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Social Media Manager,Marketing and Creative,£20000,Bristol,"['SEO Optimisation', 'Social Media Marketing', 'Brand Strategy']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Operations Manager,Finance and Business,£26000,Birmingham,"['Quantitative Analysis', 'Business Strategy', 'Excel']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Risk Analyst,Finance and Business,£24000,Cambridge,"['Financial Reporting', 'Bookkeeping', 'Financial Modeling']",You must be able to identify and assess potential risks to the organisation.
Management Consultant,Administrative,£27000,Cambridge,"['Training and Development', 'Organisational Skills', 'Conflict Resolution']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Management Consultant,Administrative,£33000,Cambridge,"['Performance Appraisal Systems', 'Organisational Skills', 'Employee Relations']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
UI Designer,Technology and Data,£27000,Newcastle,"['SQL', 'Version Control', 'Big Data Technologies']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Financial Analyst,Finance and Business,£21000,Manchester,"['Excel', 'Project Management', 'Quantitative Analysis']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Web Developer,Technology and Data,£24000,London,"['APIs', 'JavaScript', 'Data Warehousing']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Pharmaceutical Sales Representative,Engineering and Science,£21000,Birmingham,"['Project Management Software', 'Simulation Software', 'Statistical Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Management Consultant,Administrative,£32000,Bristol,"['Communication', 'HR Information Systems', 'Employee Relations']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Operations Manager,Finance and Business,£31000,Liverpool,"['Project Management', 'Financial Forecasting', 'Excel']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Insurance Underwriter,Administrative,£23000,Liverpool,"['Employee Relations', 'Training and Development', 'Talent Acquisition']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Business Analyst,Finance and Business,£26000,Sheffield,"['Financial Forecasting', 'Business Strategy', 'Budgeting']",Identify business needs and develop solutions to enhance processes and operations.
Sales Executive,Marketing and Creative,£26000,Leeds,"['Content Management Systems', 'Adobe Creative Suite', 'Brand Strategy']",Must be able to develop and execute sales strategies to meet business objectives.
Business Analyst,Finance and Business,£27000,Nottingham,"['Risk Assessment', 'Market Research', 'Quantitative Analysis']",Identify business needs and develop solutions to enhance processes and operations.
Customer Service Manager,Administrative,£32000,Nottingham,"['Compliance Management', 'Employee Relations', 'HR Information Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Electrical Engineer,Engineering and Science,£28000,Newcastle,"['Lab Techniques', 'Prototyping', 'CAD Software']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
UI Designer,Technology and Data,£24000,Cambridge,"['Data Visualisation', 'SQL', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Digital Marketing Specialist,Marketing and Creative,£30000,Bristol,"['Google Analytics', 'Campaign Management', 'Social Media Marketing']","Implement digital marketing strategies, including SEO, PPC, and social media."
Biomedical Scientist,Engineering and Science,£21000,Cambridge,"['Mechanical Design', 'Prototyping', 'CAD Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Logistics Coordinator,Administrative,£34000,Liverpool,"['HR Information Systems', 'Recruitment', 'Performance Appraisal Systems']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Marketing Executive,Marketing and Creative,£33000,Leeds,"['SEO Optimisation', 'Content Creation', 'Graphic Design']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Marketing Executive,Marketing and Creative,£27000,Cambridge,"['Graphic Design', 'Brand Strategy', 'Content Management Systems']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Health and Safety Advisor,Engineering and Science,£25000,Manchester,"['Prototyping', 'Product Development', 'Engineering Design']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Risk Analyst,Finance and Business,£26000,Leeds,"['Analytical Skills', 'Quantitative Analysis', 'Financial Forecasting']",You must be able to identify and assess potential risks to the organisation.
Insurance Underwriter,Administrative,£35000,Sheffield,"['Communication', 'Compliance Management', 'Employee Relations']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Data Analyst,Technology and Data,£28000,Cambridge,"['Docker', 'Cloud Computing', 'Django']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Audit Associate,Finance and Business,£27000,Liverpool,"['Market Research', 'Bookkeeping', 'Project Management']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Recruitment Consultant,Administrative,£25000,Liverpool,"['Leadership', 'Talent Acquisition', 'Payroll Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Recruitment Consultant,Administrative,£33000,Manchester,"['Client Management', 'Office Management', 'Leadership']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Data Analyst,Technology and Data,£29000,Sheffield,"['Problem Solving', 'Machine Learning', 'SQL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Financial Analyst,Finance and Business,£29000,Sheffield,"['Business Strategy', 'Financial Reporting', 'Financial Analysis']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Customer Service Manager,Administrative,£33000,Leeds,"['Conflict Resolution', 'Communication', 'Organisational Skills']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Graphic Designer,Marketing and Creative,£31000,Nottingham,"['Brand Strategy', 'Email Marketing', 'Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Event Coordinator,Marketing and Creative,£23000,Liverpool,"['SEO Optimisation', 'Content Management Systems', 'User Research']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Corporate Finance Analyst,Finance and Business,£28000,London,"['Regulatory Compliance', 'Financial Forecasting', 'Financial Modeling']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Systems Analyst,Technology and Data,£29000,Sheffield,"['Cloud Computing', 'Problem Solving', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Web Developer,Technology and Data,£24000,Liverpool,"['Data Warehousing', 'Problem Solving', 'SQL']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Mechanical Engineer,Engineering and Science,£32000,Leeds,"['Project Management Software', 'Simulation Software', 'Product Development']","Design machinery and equipment, and troubleshoot engineering issues."
Management Consultant,Administrative,£23000,Nottingham,"['Office Management', 'Employee Relations', 'Conflict Resolution']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Investment Banking Analyst,Finance and Business,£25000,Birmingham,"['Excel', 'Risk Assessment', 'Market Research']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Software Developer,Technology and Data,£22000,Birmingham,"['Big Data Technologies', 'ETL', 'Python Programming']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Health and Safety Advisor,Engineering and Science,£29000,Sheffield,"['Problem Solving', 'Simulation Software', 'CAD Software']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Event Coordinator,Marketing and Creative,£23000,Liverpool,"['Email Marketing', 'SEO Optimisation', 'Google Analytics']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Graphic Designer,Marketing and Creative,£34000,Bristol,"['Digital Marketing', 'Analytics', 'PPC Advertising']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Health and Safety Advisor,Engineering and Science,£27000,Bristol,"['Technical Writing', 'Engineering Design', 'Lab Techniques']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Systems Analyst,Technology and Data,£26000,Cambridge,"['Cloud Computing', 'ETL', 'Docker']",Evaluate and improve computer systems to enhance efficiency.
Logistics Coordinator,Administrative,£28000,Sheffield,"['Leadership', 'HR Information Systems', 'Training and Development']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Public Relations Officer,Marketing and Creative,£24000,Birmingham,"['Digital Marketing', 'Content Management Systems', 'User Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Corporate Finance Analyst,Finance and Business,£22000,Liverpool,"['Regulatory Compliance', 'Financial Reporting', 'Project Management']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Nurse,Administrative,£32000,Bristol,"['Onboarding', 'Recruitment', 'Client Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Health and Safety Advisor,Engineering and Science,£31000,London,"['Technical Writing', 'Project Management Software', 'Engineering Design']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Systems Analyst,Technology and Data,£26000,Leeds,"['Docker', 'Data Visualisation', 'Problem Solving']",Evaluate and improve computer systems to enhance efficiency.
Teacher,Administrative,£22000,Nottingham,"['HR Information Systems', 'Performance Appraisal Systems', 'Compliance Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Graphic Designer,Marketing and Creative,£28000,Cambridge,"['PPC Advertising', 'Graphic Design', 'Email Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Audit Associate,Finance and Business,£28000,London,"['Project Management', 'Regulatory Compliance', 'Bookkeeping']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Business Development Executive,Finance and Business,£31000,Cambridge,"['Excel', 'Bookkeeping', 'Financial Modeling']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Logistics Coordinator,Administrative,£24000,Newcastle,"['Organisational Skills', 'Performance Appraisal Systems', 'Client Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Technical Support Engineer,Technology and Data,£25000,Sheffield,"['Version Control', 'Data Warehousing', 'Django']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Public Relations Officer,Marketing and Creative,£30000,Liverpool,"['Content Creation', 'Brand Strategy', 'Social Media Marketing']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Product Designer,Marketing and Creative,£28000,Bristol,"['Social Media Marketing', 'Content Creation', 'PPC Advertising']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Supply Chain Analyst,Finance and Business,£29000,London,"['Analytical Skills', 'Financial Analysis', 'Financial Modeling']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Logistics Coordinator,Administrative,£23000,Nottingham,"['Communication', 'Office Management', 'Employee Relations']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Sales Executive,Marketing and Creative,£33000,Birmingham,"['PPC Advertising', 'User Research', 'Content Creation']",Must be able to develop and execute sales strategies to meet business objectives.
Technical Support Engineer,Technology and Data,£27000,Leeds,"['SQL', 'Cloud Computing', 'Data Analysis']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Content Writer,Marketing and Creative,£28000,Manchester,"['Social Media Marketing', 'SEO Optimisation', 'Google Analytics']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Financial Analyst,Finance and Business,£32000,London,"['Business Strategy', 'Risk Assessment', 'Excel']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Investment Banking Analyst,Finance and Business,£21000,Cambridge,"['Business Strategy', 'Financial Reporting', 'Reporting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Recruitment Consultant,Administrative,£29000,Bristol,"['Office Management', 'Client Management', 'Onboarding']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Supply Chain Analyst,Finance and Business,£26000,London,"['Excel', 'Regulatory Compliance', 'Quantitative Analysis']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
UI Designer,Technology and Data,£25000,Newcastle,"['SQL', 'Data Analysis', 'Django']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Graphic Designer,Marketing and Creative,£20000,Leeds,"['Content Management Systems', 'Graphic Design', 'Content Creation']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Business Analyst,Finance and Business,£24000,Leeds,"['Excel', 'Analytical Skills', 'Quantitative Analysis']",Identify business needs and develop solutions to enhance processes and operations.
Event Coordinator,Marketing and Creative,£22000,Newcastle,"['Digital Marketing', 'Content Creation', 'Graphic Design']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Customer Service Manager,Administrative,£27000,Manchester,"['Recruitment', 'HR Information Systems', 'Performance Appraisal Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Quantity Surveyor,Engineering and Science,£33000,Sheffield,"['Regulatory Compliance', 'Simulation Software', 'CAD Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Research Scientist,Engineering and Science,£22000,London,"['Simulation Software', 'Research Methodology', 'Engineering Design']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Technical Support Engineer,Technology and Data,£26000,Nottingham,"['Data Analysis', 'Django', 'Problem Solving']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Civil Engineer,Engineering and Science,£22000,Bristol,"['Engineering Design', 'Prototyping', 'Project Management Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Logistics Coordinator,Administrative,£25000,Cambridge,"['Office Management', 'Performance Appraisal Systems', 'Communication']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Social Media Manager,Marketing and Creative,£29000,Leeds,"['Digital Marketing', 'Social Media Marketing', 'User Research']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Insurance Underwriter,Administrative,£21000,Nottingham,"['Onboarding', 'Payroll Management', 'Talent Acquisition']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Human Resources Assistant,Administrative,£26000,Cambridge,"['Talent Acquisition', 'Leadership', 'Office Management']","Support HR functions including recruitment, employee relations, and record-keeping."
IT Support Specialist,Technology and Data,£27000,Bristol,"['Data Analysis', 'SQL', 'Data Visualisation']",You will have to provide technical support and troubleshooting for hardware and software issues.
Technical Support Engineer,Technology and Data,£28000,Manchester,"['Version Control', 'Cloud Computing', 'SQL']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Legal Assistant,Administrative,£31000,Liverpool,"['Conflict Resolution', 'HR Information Systems', 'Employee Relations']",Provide administrative support to legal teams and assist with legal research and document preparation
Social Media Manager,Marketing and Creative,£23000,Sheffield,"['Content Creation', 'Digital Marketing', 'Brand Strategy']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Corporate Finance Analyst,Finance and Business,£26000,Manchester,"['Analytical Skills', 'Market Research', 'Excel']","Support corporate finance activities including budgeting, forecasting, and financial planning."
UI Designer,Technology and Data,£34000,London,"['Data Analysis', 'APIs', 'ETL']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Logistics Coordinator,Administrative,£33000,Manchester,"['Organisational Skills', 'Payroll Management', 'Client Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Marketing Executive,Marketing and Creative,£28000,Bristol,"['Digital Marketing', 'Analytics', 'Google Analytics']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Human Resources Assistant,Administrative,£30000,London,"['Organisational Skills', 'Onboarding', 'Training and Development']","Support HR functions including recruitment, employee relations, and record-keeping."
Pharmaceutical Sales Representative,Engineering and Science,£22000,Manchester,"['Technical Writing', 'Statistical Analysis', 'Lab Techniques']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Audit Associate,Finance and Business,£34000,Nottingham,"['Market Research', 'Financial Modeling', 'Budgeting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Audit Associate,Finance and Business,£27000,Nottingham,"['Market Research', 'Reporting', 'Financial Reporting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Civil Engineer,Engineering and Science,£31000,Newcastle,"['Project Management Software', 'Simulation Software', 'Product Development']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Technical Support Engineer,Technology and Data,£20000,Cambridge,"['Cloud Computing', 'ETL', 'Data Warehousing']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Human Resources Assistant,Administrative,£29000,Newcastle,"['Communication', 'Organisational Skills', 'Training and Development']","Support HR functions including recruitment, employee relations, and record-keeping."
